DRG 	FINAL_RULE_POST_ACUTE	FINAL_RULE_SPECIAL_PAY	MDC	TYPE	DRG_DESC	RW	GMLOS	AMLOS	Year
026	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC	2.9555	5.3396	6.7972	2013
027	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC	2.1631	2.7698	3.6327	2013
028	Yes	Yes	01	SURG	SPINAL PROCEDURES W MCC	5.6028	9.8874	12.874	2013
029	Yes	Yes	01	SURG	SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS	2.9277	4.6829	6.4115	2013
030	Yes	Yes	01	SURG	SPINAL PROCEDURES W/O CC/MCC	1.7854	2.4323	3.202	2013
031	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W MCC	4.2645	8.5275	11.9631	2013
032	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W CC	2.0348	3.5887	5.3267	2013
033	Yes	No	01	SURG	VENTRICULAR SHUNT PROCEDURES W/O CC/MCC	1.4381	2.0414	2.6005	2013
034	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W MCC	3.6918	4.6966	7.0335	2013
035	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W CC	2.1965	2.1289	3.1736	2013
036	No	No	01	SURG	CAROTID ARTERY STENT PROCEDURE W/O CC/MCC	1.661	1.2736	1.5262	2013
037	No	No	01	SURG	EXTRACRANIAL PROCEDURES W MCC	3.187	5.6434	8.3144	2013
038	No	No	01	SURG	EXTRACRANIAL PROCEDURES W CC	1.5741	2.4285	3.4663	2013
039	No	No	01	SURG	EXTRACRANIAL PROCEDURES W/O CC/MCC	1.0285	1.3607	1.6293	2013
040	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC	3.868	8.8522	11.7424	2013
041	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM	2.133	5.0374	6.419	2013
042	Yes	Yes	01	SURG	PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC	1.7744	2.614	3.4373	2013
052	No	No	01	MED	SPINAL DISORDERS & INJURIES W CC/MCC	1.4903	4.2659	5.7567	2013
053	No	No	01	MED	SPINAL DISORDERS & INJURIES W/O CC/MCC	0.9046	2.9055	3.5073	2013
054	Yes	No	01	MED	NERVOUS SYSTEM NEOPLASMS W MCC	1.3962	4.2004	5.6827	2013
055	Yes	No	01	MED	NERVOUS SYSTEM NEOPLASMS W/O MCC	1.0486	3.1932	4.3026	2013
056	Yes	No	01	MED	DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC	1.7194	5.3655	7.123	2013
057	Yes	No	01	MED	DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC	0.968	3.6393	4.7499	2013
058	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC	1.6472	5.3797	6.9718	2013
059	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC	1.0088	3.8757	4.7303	2013
060	No	No	01	MED	MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC	0.7807	3.1012	3.6375	2013
061	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC	2.8668	5.9662	7.8203	2013
062	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC	1.9551	4.4534	5.2004	2013
063	No	No	01	MED	ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC	1.5366	3.2454	3.6983	2013
064	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	1.8424	4.8404	6.6394	2013
065	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	1.1345	3.6701	4.4569	2013
066	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC	0.8135	2.5659	3.0562	2013
067	No	No	01	MED	NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC	1.5074	4.1454	5.3893	2013
068	No	No	01	MED	NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC	0.8899	2.5794	3.2135	2013
069	No	No	01	MED	TRANSIENT ISCHEMIA	0.7449	2.2185	2.6959	2013
070	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC	1.7056	5.1194	6.8153	2013
071	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W CC	1.0174	3.7075	4.6823	2013
072	Yes	No	01	MED	NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC	0.7506	2.4528	3.0403	2013
073	No	No	01	MED	CRANIAL & PERIPHERAL NERVE DISORDERS W MCC	1.282	4.0517	5.4049	2013
074	No	No	01	MED	CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC	0.8837	3.1476	3.957	2013
075	No	No	01	MED	VIRAL MENINGITIS W CC/MCC	1.7611	5.5358	6.9879	2013
076	No	No	01	MED	VIRAL MENINGITIS W/O CC/MCC	0.8947	3.2475	3.897	2013
077	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W MCC	1.6426	4.7594	6.0142	2013
078	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W CC	0.979	3.2471	4.0205	2013
079	No	No	01	MED	HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC	0.7297	2.3618	2.8718	2013
080	No	No	01	MED	NONTRAUMATIC STUPOR & COMA W MCC	1.2616	3.7356	5.2224	2013
081	No	No	01	MED	NONTRAUMATIC STUPOR & COMA W/O MCC	0.7416	2.6535	3.354	2013
082	No	No	01	MED	TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC	1.9249	3.2658	5.6021	2013
083	No	No	01	MED	TRAUMATIC STUPOR & COMA, COMA >1 HR W CC	1.3458	3.3896	4.4527	2013
084	No	No	01	MED	TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC	0.8696	2.1779	2.7496	2013
085	Yes	No	01	MED	TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC	2.0387	5.0125	6.8486	2013
086	Yes	No	01	MED	TRAUMATIC STUPOR & COMA, COMA <1 HR W CC	1.1874	3.3959	4.3172	2013
087	Yes	No	01	MED	TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC	0.7605	2.1839	2.6985	2013
088	No	No	01	MED	CONCUSSION W MCC	1.5687	4.0842	5.2852	2013
089	No	No	01	MED	CONCUSSION W CC	0.9791	2.7305	3.4071	2013
090	No	No	01	MED	CONCUSSION W/O CC/MCC	0.7218	1.7886	2.1717	2013
091	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W MCC	1.6583	4.2896	6.0468	2013
092	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W CC	0.9214	3.136	3.9848	2013
093	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC	0.6938	2.2514	2.7648	2013
094	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC	3.5656	8.9102	11.461	2013
095	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC	2.4627	6.2788	7.8573	2013
096	No	No	01	MED	BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC	2.0158	4.4128	5.4906	2013
097	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC	3.3714	8.9079	11.5207	2013
098	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC	1.8418	6.0945	7.6978	2013
099	No	No	01	MED	NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC	1.2427	4.0539	4.9489	2013
100	Yes	No	01	MED	SEIZURES W MCC	1.557	4.3196	5.7784	2013
101	Yes	No	01	MED	SEIZURES W/O MCC	0.7643	2.6359	3.2837	2013
102	No	No	01	MED	HEADACHES W MCC	1.0209	2.974	4.0938	2013
103	No	No	01	MED	HEADACHES W/O MCC	0.6893	2.3106	2.9092	2013
113	No	No	02	SURG	ORBITAL PROCEDURES W CC/MCC	1.8587	4.142	5.6217	2013
114	No	No	02	SURG	ORBITAL PROCEDURES W/O CC/MCC	0.9589	2.2352	2.8926	2013
115	No	No	02	SURG	EXTRAOCULAR PROCEDURES EXCEPT ORBIT	1.2407	3.4219	4.5141	2013
116	No	No	02	SURG	INTRAOCULAR PROCEDURES W CC/MCC	1.5022	3.4571	5.0969	2013
117	No	No	02	SURG	INTRAOCULAR PROCEDURES W/O CC/MCC	0.7234	1.743	2.3316	2013
121	No	No	02	MED	ACUTE MAJOR EYE INFECTIONS W CC/MCC	0.9589	3.9415	4.8914	2013
122	No	No	02	MED	ACUTE MAJOR EYE INFECTIONS W/O CC/MCC	0.6533	3.2225	3.8646	2013
123	No	No	02	MED	NEUROLOGICAL EYE DISORDERS	0.7542	2.156	2.6931	2013
124	No	No	02	MED	OTHER DISORDERS OF THE EYE W MCC	1.1885	3.5594	4.9211	2013
125	No	No	02	MED	OTHER DISORDERS OF THE EYE W/O MCC	0.685	2.5259	3.1924	2013
129	No	No	03	SURG	MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE	2.15	3.7186	5.3678	2013
130	No	No	03	SURG	MAJOR HEAD & NECK PROCEDURES W/O CC/MCC	1.2065	2.3199	2.8831	2013
131	No	No	03	SURG	CRANIAL/FACIAL PROCEDURES W CC/MCC	2.3443	4.239	6.061	2013
132	No	No	03	SURG	CRANIAL/FACIAL PROCEDURES W/O CC/MCC	1.2362	2.1005	2.6696	2013
133	No	No	03	SURG	OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC	1.7818	3.5961	5.4043	2013
134	No	No	03	SURG	OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC	0.9177	1.777	2.2377	2013
135	No	No	03	SURG	SINUS & MASTOID PROCEDURES W CC/MCC	2.0002	4.0495	5.8928	2013
136	No	No	03	SURG	SINUS & MASTOID PROCEDURES W/O CC/MCC	1.0697	1.765	2.3441	2013
137	No	No	03	SURG	MOUTH PROCEDURES W CC/MCC	1.3192	3.8222	5.0435	2013
138	No	No	03	SURG	MOUTH PROCEDURES W/O CC/MCC	0.7388	1.8728	2.3366	2013
139	No	No	03	SURG	SALIVARY GLAND PROCEDURES	0.8922	1.4204	1.7827	2013
146	No	No	03	MED	EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC	2.2347	6.3227	9.1309	2013
147	No	No	03	MED	EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC	1.2486	3.9019	5.3971	2013
148	No	No	03	MED	EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC	0.7488	2.4142	3.1523	2013
149	No	No	03	MED	DYSEQUILIBRIUM	0.6462	2.0768	2.5208	2013
150	No	No	03	MED	EPISTAXIS W MCC	1.389	3.8197	5.195	2013
151	No	No	03	MED	EPISTAXIS W/O MCC	0.6458	2.2409	2.7809	2013
152	No	No	03	MED	OTITIS MEDIA & URI W MCC	1.0166	3.4353	4.3508	2013
153	No	No	03	MED	OTITIS MEDIA & URI W/O MCC	0.6605	2.5263	3.0697	2013
154	No	No	03	MED	OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC	1.4138	4.3078	5.7036	2013
155	No	No	03	MED	OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC	0.9137	3.2222	4.0519	2013
156	No	No	03	MED	OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC	0.6349	2.2777	2.8094	2013
157	No	No	03	MED	DENTAL & ORAL DISEASES W MCC	1.601	4.6572	6.5589	2013
158	No	No	03	MED	DENTAL & ORAL DISEASES W CC	0.8988	3.2053	4.1128	2013
159	No	No	03	MED	DENTAL & ORAL DISEASES W/O CC/MCC	0.5969	2.1084	2.6172	2013
163	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W MCC	5.1193	11.2791	13.698	2013
164	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W CC	2.6191	5.7767	6.9839	2013
165	Yes	No	04	SURG	MAJOR CHEST PROCEDURES W/O CC/MCC	1.7922	3.4541	4.1391	2013
166	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W MCC	3.7513	9.0799	11.4826	2013
167	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W CC	2.0043	5.3936	6.793	2013
168	Yes	No	04	SURG	OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC	1.3153	3.1279	4.0947	2013
175	Yes	No	04	MED	PULMONARY EMBOLISM W MCC	1.587	5.4917	6.5594	2013
176	Yes	No	04	MED	PULMONARY EMBOLISM W/O MCC	1.0379	3.8676	4.5874	2013
177	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC	2.0549	6.5882	8.1916	2013
178	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W CC	1.4403	5.2713	6.3768	2013
179	Yes	No	04	MED	RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC	0.9799	3.8081	4.6274	2013
180	No	No	04	MED	RESPIRATORY NEOPLASMS W MCC	1.7567	5.6011	7.2852	2013
181	No	No	04	MED	RESPIRATORY NEOPLASMS W CC	1.2108	3.9297	5.1485	2013
182	No	No	04	MED	RESPIRATORY NEOPLASMS W/O CC/MCC	0.8275	2.6689	3.448	2013
183	No	No	04	MED	MAJOR CHEST TRAUMA W MCC	1.4804	5.0288	6.2189	2013
184	No	No	04	MED	MAJOR CHEST TRAUMA W CC	1.0171	3.4928	4.1846	2013
185	No	No	04	MED	MAJOR CHEST TRAUMA W/O CC/MCC	0.6961	2.4362	2.9086	2013
186	Yes	No	04	MED	PLEURAL EFFUSION W MCC	1.5746	4.9412	6.4144	2013
187	Yes	No	04	MED	PLEURAL EFFUSION W CC	1.1169	3.7231	4.7141	2013
188	Yes	No	04	MED	PLEURAL EFFUSION W/O CC/MCC	0.7544	2.6437	3.3001	2013
189	No	No	04	MED	PULMONARY EDEMA & RESPIRATORY FAILURE	1.2461	4.0767	5.204	2013
190	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC	1.186	4.3226	5.2606	2013
191	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC	0.9521	3.6035	4.3563	2013
192	Yes	No	04	MED	CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC	0.7072	2.8697	3.4315	2013
193	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W MCC	1.4893	5.1068	6.2678	2013
194	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W CC	0.9996	3.9488	4.7244	2013
195	Yes	No	04	MED	SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC	0.7078	2.99	3.5163	2013
196	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W MCC	1.682	5.4856	6.9071	2013
197	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W CC	1.1209	3.9284	4.8396	2013
198	Yes	No	04	MED	INTERSTITIAL LUNG DISEASE W/O CC/MCC	0.7879	2.9082	3.5812	2013
199	No	No	04	MED	PNEUMOTHORAX W MCC	1.8915	6.1283	7.8339	2013
200	No	No	04	MED	PNEUMOTHORAX W CC	1.0242	3.4818	4.4523	2013
201	No	No	04	MED	PNEUMOTHORAX W/O CC/MCC	0.6792	2.6016	3.314	2013
202	No	No	04	MED	BRONCHITIS & ASTHMA W CC/MCC	0.8704	3.2523	4.0067	2013
203	No	No	04	MED	BRONCHITIS & ASTHMA W/O CC/MCC	0.6228	2.5237	3.0426	2013
204	No	No	04	MED	RESPIRATORY SIGNS & SYMPTOMS	0.6822	2.1128	2.6881	2013
205	Yes	No	04	MED	OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC	1.3809	4.0205	5.334	2013
206	Yes	No	04	MED	OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC	0.7763	2.5367	3.2124	2013
207	Yes	No	04	MED	RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS	5.3619	12.4954	14.5938	2013
208	No	No	04	MED	RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS	2.2899	5.0692	6.9693	2013
215	No	No	05	SURG	OTHER HEART ASSIST SYSTEM IMPLANT	14.1036	8.5492	14.989	2013
216	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC	9.519	13.7792	16.4498	2013
217	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC	6.3495	8.996	10.1818	2013
218	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC	5.3429	6.547	7.4257	2013
219	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC	7.839	10.3443	12.5084	2013
220	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC	5.2438	6.8194	7.5221	2013
221	Yes	Yes	05	SURG	CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC	4.4232	5.0702	5.577	2013
222	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC	8.5506	9.8815	11.9953	2013
223	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC	6.1065	4.3653	5.9273	2013
224	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC	7.6758	8.0883	10.0416	2013
225	No	No	05	SURG	CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC	5.7605	4.0349	5.0052	2013
226	No	No	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC	6.7354	6.1097	8.7367	2013
227	No	No	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC	5.1886	2.094	3.1437	2013
228	No	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W MCC	7.0815	11.2274	13.4457	2013
229	No	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W CC	4.6279	7.0969	7.9703	2013
230	No	No	05	SURG	OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC	3.8111	4.8116	5.5571	2013
231	No	No	05	SURG	CORONARY BYPASS W PTCA W MCC	7.5297	10.3363	12.0911	2013
232	No	No	05	SURG	CORONARY BYPASS W PTCA W/O MCC	5.7151	8.2539	9.1272	2013
233	Yes	No	05	SURG	CORONARY BYPASS W CARDIAC CATH W MCC	7.2292	11.8506	13.3515	2013
234	Yes	No	05	SURG	CORONARY BYPASS W CARDIAC CATH W/O MCC	4.8413	8.1115	8.7103	2013
235	Yes	No	05	SURG	CORONARY BYPASS W/O CARDIAC CATH W MCC	5.8014	9.1873	10.653	2013
236	Yes	No	05	SURG	CORONARY BYPASS W/O CARDIAC CATH W/O MCC	3.7777	6.0112	6.4798	2013
237	No	No	05	SURG	MAJOR CARDIOVASC PROCEDURES W MCC	5.117	7.0768	10.0441	2013
238	No	No	05	SURG	MAJOR CARDIOVASC PROCEDURES W/O MCC	3.1863	2.7204	3.9234	2013
239	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC	4.6194	11.1269	14.0751	2013
240	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC	2.6531	7.4073	9.1044	2013
241	Yes	No	05	SURG	AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC	1.4825	4.6943	5.6591	2013
242	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W MCC	3.7314	6.1055	7.8225	2013
243	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W CC	2.6204	3.7197	4.6964	2013
244	Yes	No	05	SURG	PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC	2.0624	2.2952	2.8358	2013
245	No	No	05	SURG	AICD GENERATOR PROCEDURES	4.254	2.8909	4.3113	2013
246	No	No	05	SURG	PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS	3.1566	3.7975	5.2273	2013
247	No	No	05	SURG	PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC	1.9911	1.9995	2.4655	2013
248	No	No	05	SURG	PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS	3.0003	4.7095	6.3581	2013
249	No	No	05	SURG	PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC	1.7961	2.3401	2.9139	2013
250	No	No	05	SURG	PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC	2.9988	5.2364	7.0958	2013
251	No	No	05	SURG	PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC	1.9237	2.2371	2.9723	2013
252	No	No	05	SURG	OTHER VASCULAR PROCEDURES W MCC	3.0224	5.2548	7.762	2013
253	No	No	05	SURG	OTHER VASCULAR PROCEDURES W CC	2.4739	4.3953	5.9142	2013
254	No	No	05	SURG	OTHER VASCULAR PROCEDURES W/O CC/MCC	1.6609	2.1102	2.7361	2013
255	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC	2.4381	6.6772	8.7941	2013
256	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC	1.5934	5.4744	6.7791	2013
257	Yes	No	05	SURG	UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC	0.9535	3.2091	4.1549	2013
258	No	No	05	SURG	CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC	2.6945	4.9962	6.518	2013
259	No	No	05	SURG	CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC	1.859	2.5292	3.3066	2013
260	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC	3.6624	7.68	10.5026	2013
261	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC	1.6769	3.3614	4.4227	2013
262	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC	1.2343	2.1455	2.7125	2013
263	No	No	05	SURG	VEIN LIGATION & STRIPPING	1.9091	3.8012	5.9466	2013
264	Yes	No	05	SURG	OTHER CIRCULATORY SYSTEM O.R. PROCEDURES	2.6674	5.6343	8.3205	2013
265	No	No	05	SURG	AICD LEAD PROCEDURES	2.4394	2.5423	3.7702	2013
280	Yes	No	05	MED	ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC	1.7999	4.9497	6.2896	2013
281	Yes	No	05	MED	ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC	1.0961	3.2442	4.0045	2013
282	Yes	No	05	MED	ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC	0.7736	2.1318	2.5845	2013
283	No	No	05	MED	ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC	1.7539	3.1769	5.1127	2013
284	No	No	05	MED	ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC	0.8042	1.8562	2.6026	2013
285	No	No	05	MED	ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC	0.5353	1.3867	1.7299	2013
286	No	No	05	MED	CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC	2.0617	4.9226	6.595	2013
287	No	No	05	MED	CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC	1.0709	2.4029	3.1152	2013
288	Yes	No	05	MED	ACUTE & SUBACUTE ENDOCARDITIS W MCC	2.8229	7.8808	9.9017	2013
289	Yes	No	05	MED	ACUTE & SUBACUTE ENDOCARDITIS W CC	1.8145	5.9475	7.2208	2013
