HRR Code	HRR Name	Medicare Beneficiaries Enrolled in FFS Part A	Year
283	NJ - Camden	431487	2011
284	NJ - Hackensack	165141	2011
285	NJ - Morristown	136008	2011
288	NJ - New Brunswick	125836	2011
289	NJ - Newark	161476	2011
291	NJ - Paterson	50448	2011
292	NJ - Ridgewood	55405	2011
293	NM - Albuquerque	190040	2011
295	NY - Albany	248540	2011
296	NY - Binghamton	55064	2011
297	NY - Bronx	92799	2011
299	NY - Buffalo	133333	2011
300	NY - Elmira	48553	2011
301	NY - East Long Island	534550	2011
303	NY - Manhattan	458205	2011
304	NY - Rochester	108261	2011
307	NY - Syracuse	142577	2011
308	NY - White Plains	146050	2011
309	NC - Asheville	124283	2011
311	NC - Charlotte	299272	2011
312	NC - Durham	187775	2011
313	NC - Greensboro	66236	2011
314	NC - Greenville	138750	2011
315	NC - Hickory	45492	2011
318	NC - Raleigh	239793	2011
319	NC - Wilmington	76799	2011
320	NC - Winston-Salem	133041	2011
321	ND - Bismarck	34640	2011
322	ND - Fargo/Moorhead MN	65846	2011
323	ND - Grand Forks	21862	2011
324	ND - Minot	19243	2011
325	OH - Akron	67163	2011
326	OH - Canton	66211	2011
327	OH - Cincinnati	170559	2011
328	OH - Cleveland	245552	2011
329	OH - Columbus	315854	2011
330	OH - Dayton	123910	2011
331	OH - Elyria	32706	2011
332	OH - Kettering	43490	2011
334	OH - Toledo	119236	2011
335	OH - Youngstown	77338	2011
336	OK - Lawton	30110	2011
339	OK - Oklahoma City	256524	2011
340	OK - Tulsa	182117	2011
341	OR - Bend	31587	2011
342	OR - Eugene	89152	2011
343	OR - Medford	73758	2011
344	OR - Portland	213578	2011
345	OR - Salem	22817	2011
346	PA - Allentown	170663	2011
347	PA - Altoona	36298	2011
350	PA - Danville	68225	2011
351	PA - Erie	97839	2011
352	PA - Harrisburg	122085	2011
354	PA - Johnstown	21110	2011
355	PA - Lancaster	80073	2011
356	PA - Philadelphia	453375	2011
357	PA - Pittsburgh	259264	2011
358	PA - Reading	74099	2011
359	PA - Sayre	31124	2011
360	PA - Scranton	55157	2011
362	PA - Wilkes-Barre	40774	2011
363	PA - York	53956	2011
364	RI - Providence	142220	2011
365	SC - Charleston	157609	2011
366	SC - Columbia	165075	2011
367	SC - Florence	61849	2011
368	SC - Greenville	125378	2011
369	SC - Spartanburg	53632	2011
370	SD - Rapid City	32762	2011
371	SD - Sioux Falls	121188	2011
373	TN - Chattanooga	98116	2011
374	TN - Jackson	60906	2011
375	TN - Johnson City	38248	2011
376	TN - Kingsport	75915	2011
377	TN - Knoxville	187128	2011
379	TN - Memphis	235345	2011
380	TN - Nashville	331636	2011
382	TX - Abilene	50005	2011
383	TX - Amarillo	59179	2011
385	TX - Austin	158171	2011
386	TX - Beaumont	61601	2011
388	TX - Bryan	27301	2011
390	TX - Corpus Christi	56037	2011
391	TX - Dallas	450418	2011
393	TX - El Paso	105940	2011
394	TX - Fort Worth	189337	2011
396	TX - Harlingen	56432	2011
397	TX - Houston	534452	2011
399	TX - Longview	30286	2011
400	TX - Lubbock	89984	2011
402	TX - McAllen	59377	2011
406	TX - Odessa	41736	2011
411	TX - San Angelo	25853	2011
412	TX - San Antonio	277887	2011
413	TX - Temple	44954	2011
416	TX - Tyler	91909	2011
417	TX - Victoria	24508	2011
418	TX - Waco	47613	2011
420	TX - Wichita Falls	33968	2011
421	UT - Ogden	35248	2011
422	UT - Provo	30933	2011
423	UT - Salt Lake City	162663	2011
424	VT - Burlington	101088	2011
426	VA - Arlington	192920	2011
427	VA - Charlottesville	86714	2011
428	VA - Lynchburg	44902	2011
429	VA - Newport News	77643	2011
430	VA - Norfolk	154675	2011
431	VA - Richmond	219904	2011
432	VA - Roanoke	119911	2011
435	VA - Winchester	63602	2011
437	WA - Everett	66589	2011
438	WA - Olympia	51671	2011
439	WA - Seattle	297366	2011
440	WA - Spokane	207507	2011
441	WA - Tacoma	84840	2011
442	WA - Yakima	36036	2011
443	WV - Charleston	142584	2011
444	WV - Huntington	61292	2011
445	WV - Morgantown	59582	2011
446	WI - Appleton	28609	2011
447	WI - Green Bay	60924	2011
448	WI - La Crosse	41034	2011
449	WI - Madison	133896	2011
450	WI - Marshfield	48197	2011
451	WI - Milwaukee	294327	2011
452	WI - Neenah	23035	2011
456	WI - Wausau	26721	2011
457	WY - Casper	30528	2011
1	AL - Birmingham	328064	2012
2	AL - Dothan	66789	2012
5	AL - Huntsville	96913	2012
6	AL - Mobile	106543	2012
7	AL - Montgomery	61277	2012
9	AL - Tuscaloosa	43372	2012
10	AK - Anchorage	72146	2012
11	AZ - Mesa	101506	2012
12	AZ - Phoenix	327477	2012
14	AZ - Sun City	50180	2012
15	AZ - Tucson	128277	2012
16	AR - Fort Smith	59173	2012
18	AR - Jonesboro	41393	2012
19	AR - Little Rock	263844	2012
21	AR - Springdale	65953	2012
22	AR - Texarkana	44273	2012
23	CA - Orange County	237050	2012
25	CA - Bakersfield	96550	2012
31	CA - Chico	58558	2012
33	CA - Contra Costa County	86084	2012
43	CA - Fresno	110109	2012
56	CA - Los Angeles	701102	2012
58	CA - Modesto	93727	2012
62	CA - Napa	46672	2012
65	CA - Alameda County	114060	2012
69	CA - Palm Springs/Rancho Mirage	47872	2012
73	CA - Redding	68500	2012
77	CA - Sacramento	252472	2012
78	CA - Salinas	50439	2012
79	CA - San Bernardino	170602	2012
80	CA - San Diego	284997	2012
81	CA - San Francisco	136975	2012
82	CA - San Jose	138505	2012
83	CA - San Luis Obispo	40822	2012
85	CA - San Mateo County	69582	2012
86	CA - Santa Barbara	58295	2012
87	CA - Santa Cruz	35637	2012
89	CA - Santa Rosa	52890	2012
91	CA - Stockton	53490	2012
96	CA - Ventura	87775	2012
101	CO - Boulder	25369	2012
102	CO - Colorado Springs	91597	2012
103	CO - Denver	207971	2012
104	CO - Fort Collins	39295	2012
105	CO - Grand Junction	39580	2012
106	CO - Greeley	42154	2012
107	CO - Pueblo	24824	2012
109	CT - Bridgeport	79555	2012
110	CT - Hartford	203013	2012
111	CT - New Haven	195083	2012
112	DE - Wilmington	118734	2012
113	DC - Washington	334820	2012
115	FL - Bradenton	51815	2012
116	FL - Clearwater	68762	2012
118	FL - Fort Lauderdale	335078	2012
119	FL - Fort Myers	213749	2012
120	FL - Gainesville	86619	2012
122	FL - Hudson	62293	2012
123	FL - Jacksonville	206794	2012
124	FL - Lakeland	41725	2012
127	FL - Miami	229617	2012
129	FL - Ocala	125809	2012
130	FL - Orlando	456532	2012
131	FL - Ormond Beach	64905	2012
133	FL - Panama City	36319	2012
134	FL - Pensacola	119866	2012
137	FL - Sarasota	96153	2012
139	FL - St. Petersburg	54400	2012
140	FL - Tallahassee	92366	2012
141	FL - Tampa	123808	2012
142	GA - Albany	27423	2012
144	GA - Atlanta	583660	2012
145	GA - Augusta	86947	2012
146	GA - Columbus	41151	2012
147	GA - Macon	93890	2012
148	GA - Rome	42890	2012
149	GA - Savannah	107862	2012
150	HI - Honolulu	122272	2012
151	ID - Boise	88776	2012
152	ID - Idaho Falls	23455	2012
154	IL - Aurora	29260	2012
155	IL - Blue Island	124556	2012
156	IL - Chicago	267054	2012
158	IL - Elgin	91509	2012
161	IL - Evanston	147994	2012
163	IL - Hinsdale	58286	2012
164	IL - Joliet	90038	2012
166	IL - Melrose Park	164952	2012
170	IL - Peoria	97574	2012
171	IL - Rockford	108174	2012
172	IL - Springfield	151655	2012
173	IL - Urbana	61465	2012
175	IL - Bloomington	23480	2012
179	IN - Evansville	109541	2012
180	IN - Fort Wayne	91967	2012
181	IN - Gary	81873	2012
183	IN - Indianapolis	366584	2012
184	IN - Lafayette	28342	2012
185	IN - Muncie	27854	2012
186	IN - Munster	45972	2012
187	IN - South Bend	88067	2012
188	IN - Terre Haute	29904	2012
190	IA - Cedar Rapids	38271	2012
191	IA - Davenport	78610	2012
192	IA - Des Moines	157618	2012
193	IA - Dubuque	18474	2012
194	IA - Iowa City	48768	2012
195	IA - Mason City	27902	2012
196	IA - Sioux City	37519	2012
197	IA - Waterloo	34361	2012
200	KS - Topeka	69580	2012
201	KS - Wichita	194793	2012
203	KY - Covington	44896	2012
204	KY - Lexington	238666	2012
205	KY - Louisville	255296	2012
207	KY - Owensboro	25062	2012
208	KY - Paducah	72553	2012
209	LA - Alexandria	47562	2012
210	LA - Baton Rouge	86793	2012
212	LA - Houma	36615	2012
213	LA - Lafayette	91674	2012
214	LA - Lake Charles	37863	2012
216	LA - Metairie	43752	2012
217	LA - Monroe	41273	2012
218	LA - New Orleans	53754	2012
219	LA - Shreveport	102693	2012
220	LA - Slidell	22859	2012
221	ME - Bangor	78941	2012
222	ME - Portland	180487	2012
223	MD - Baltimore	357398	2012
225	MD - Salisbury	93716	2012
226	MD - Takoma Park	99453	2012
227	MA - Boston	691228	2012
230	MA - Springfield	114112	2012
231	MA - Worcester	87727	2012
232	MI - Ann Arbor	166649	2012
233	MI - Dearborn	65481	2012
234	MI - Detroit	225796	2012
235	MI - Flint	74947	2012
236	MI - Grand Rapids	112116	2012
238	MI - Kalamazoo	92026	2012
239	MI - Lansing	88171	2012
240	MI - Marquette	34584	2012
242	MI - Muskegon	35684	2012
243	MI - Petoskey	32741	2012
244	MI - Pontiac	54724	2012
245	MI - Royal Oak	89644	2012
246	MI - Saginaw	117157	2012
248	MI - St. Joseph	22293	2012
249	MI - Traverse City	43170	2012
250	MN - Duluth	45473	2012
251	MN - Minneapolis	259102	2012
253	MN - Rochester	49796	2012
254	MN - St. Cloud	20987	2012
256	MN - St. Paul	80445	2012
257	MS - Gulfport	28491	2012
258	MS - Hattiesburg	47680	2012
259	MS - Jackson	158197	2012
260	MS - Meridian	35388	2012
261	MS - Oxford	25295	2012
262	MS - Tupelo	69083	2012
263	MO - Cape Girardeau	49981	2012
264	MO - Columbia	115524	2012
267	MO - Joplin	62501	2012
268	MO - Kansas City	296657	2012
270	MO - Springfield	126628	2012
273	MO - St. Louis	449274	2012
274	MT - Billings	85021	2012
275	MT - Great Falls	22168	2012
276	MT - Missoula	64696	2012
277	NE - Lincoln	90859	2012
278	NE - Omaha	174412	2012
279	NV - Las Vegas	186856	2012
280	NV - Reno	102570	2012
281	NH - Lebanon	80518	2012
282	NH - Manchester	144818	2012
283	NJ - Camden	438822	2012
284	NJ - Hackensack	165192	2012
285	NJ - Morristown	140591	2012
288	NJ - New Brunswick	128096	2012
289	NJ - Newark	158772	2012
291	NJ - Paterson	50532	2012
292	NJ - Ridgewood	56556	2012
293	NM - Albuquerque	195590	2012
295	NY - Albany	251664	2012
296	NY - Binghamton	55439	2012
297	NY - Bronx	93150	2012
299	NY - Buffalo	132020	2012
300	NY - Elmira	48478	2012
301	NY - East Long Island	540826	2012
303	NY - Manhattan	464946	2012
304	NY - Rochester	109410	2012
307	NY - Syracuse	142875	2012
308	NY - White Plains	146653	2012
309	NC - Asheville	127223	2012
311	NC - Charlotte	307753	2012
312	NC - Durham	192068	2012
313	NC - Greensboro	66765	2012
314	NC - Greenville	142730	2012
315	NC - Hickory	44673	2012
318	NC - Raleigh	248811	2012
319	NC - Wilmington	80373	2012
320	NC - Winston-Salem	134052	2012
321	ND - Bismarck	34487	2012
322	ND - Fargo/Moorhead MN	65268	2012
323	ND - Grand Forks	21721	2012
324	ND - Minot	18835	2012
325	OH - Akron	67347	2012
326	OH - Canton	66170	2012
327	OH - Cincinnati	170167	2012
328	OH - Cleveland	246358	2012
329	OH - Columbus	315421	2012
330	OH - Dayton	123443	2012
331	OH - Elyria	33183	2012
332	OH - Kettering	43828	2012
334	OH - Toledo	119890	2012
335	OH - Youngstown	77243	2012
336	OK - Lawton	30453	2012
339	OK - Oklahoma City	260676	2012
340	OK - Tulsa	186855	2012
341	OR - Bend	33620	2012
342	OR - Eugene	92041	2012
343	OR - Medford	75855	2012
344	OR - Portland	222039	2012
345	OR - Salem	23775	2012
346	PA - Allentown	172012	2012
347	PA - Altoona	35951	2012
350	PA - Danville	68609	2012
351	PA - Erie	98257	2012
352	PA - Harrisburg	124208	2012
354	PA - Johnstown	21440	2012
355	PA - Lancaster	81807	2012
356	PA - Philadelphia	471001	2012
357	PA - Pittsburgh	262576	2012
358	PA - Reading	74815	2012
359	PA - Sayre	31723	2012
360	PA - Scranton	56100	2012
362	PA - Wilkes-Barre	42215	2012
363	PA - York	54892	2012
364	RI - Providence	145978	2012
365	SC - Charleston	165150	2012
366	SC - Columbia	169300	2012
367	SC - Florence	63340	2012
368	SC - Greenville	126102	2012
369	SC - Spartanburg	53838	2012
370	SD - Rapid City	33477	2012
371	SD - Sioux Falls	120061	2012
373	TN - Chattanooga	98774	2012
374	TN - Jackson	61393	2012
375	TN - Johnson City	37902	2012
376	TN - Kingsport	75555	2012
377	TN - Knoxville	186521	2012
379	TN - Memphis	240140	2012
380	TN - Nashville	336923	2012
382	TX - Abilene	48907	2012
383	TX - Amarillo	58885	2012
385	TX - Austin	157740	2012
386	TX - Beaumont	60994	2012
388	TX - Bryan	27909	2012
390	TX - Corpus Christi	55643	2012
391	TX - Dallas	464978	2012
393	TX - El Paso	105059	2012
394	TX - Fort Worth	193636	2012
396	TX - Harlingen	55087	2012
397	TX - Houston	544861	2012
399	TX - Longview	30367	2012
400	TX - Lubbock	87980	2012
402	TX - McAllen	59281	2012
406	TX - Odessa	41446	2012
411	TX - San Angelo	25560	2012
412	TX - San Antonio	282156	2012
413	TX - Temple	46570	2012
416	TX - Tyler	91356	2012
417	TX - Victoria	24461	2012
418	TX - Waco	46649	2012
420	TX - Wichita Falls	33272	2012
421	UT - Ogden	36638	2012
422	UT - Provo	32288	2012
423	UT - Salt Lake City	168317	2012
424	VT - Burlington	103574	2012
426	VA - Arlington	204543	2012
427	VA - Charlottesville	89771	2012
428	VA - Lynchburg	44027	2012
429	VA - Newport News	79709	2012
430	VA - Norfolk	158968	2012
431	VA - Richmond	226745	2012
432	VA - Roanoke	124049	2012
435	VA - Winchester	66774	2012
437	WA - Everett	65345	2012
438	WA - Olympia	52275	2012
439	WA - Seattle	303158	2012
440	WA - Spokane	209679	2012
441	WA - Tacoma	87172	2012
442	WA - Yakima	36359	2012
443	WV - Charleston	144427	2012
444	WV - Huntington	61122	2012
445	WV - Morgantown	59821	2012
446	WI - Appleton	28006	2012
447	WI - Green Bay	60718	2012
448	WI - La Crosse	41639	2012
449	WI - Madison	136682	2012
450	WI - Marshfield	47550	2012
451	WI - Milwaukee	299018	2012
452	WI - Neenah	22566	2012
456	WI - Wausau	26631	2012
457	WY - Casper	31605	2012
1	AL - Birmingham	330671	2013
2	AL - Dothan	67460	2013
5	AL - Huntsville	98556	2013
6	AL - Mobile	107931	2013
7	AL - Montgomery	62112	2013
9	AL - Tuscaloosa	43981	2013
10	AK - Anchorage	75503	2013
11	AZ - Mesa	106276	2013
12	AZ - Phoenix	339971	2013
14	AZ - Sun City	50770	2013
15	AZ - Tucson	130871	2013
16	AR - Fort Smith	59204	2013
18	AR - Jonesboro	41136	2013
19	AR - Little Rock	263706	2013
21	AR - Springdale	66890	2013
22	AR - Texarkana	43692	2013
23	CA - Orange County	239542	2013
25	CA - Bakersfield	98157	2013
31	CA - Chico	60017	2013
33	CA - Contra Costa County	88536	2013
43	CA - Fresno	111035	2013
56	CA - Los Angeles	701384	2013
58	CA - Modesto	95402	2013
62	CA - Napa	48004	2013
65	CA - Alameda County	117038	2013
69	CA - Palm Springs/Rancho Mirage	48346	2013
73	CA - Redding	70463	2013
77	CA - Sacramento	259736	2013
78	CA - Salinas	52140	2013
79	CA - San Bernardino	171548	2013
80	CA - San Diego	292210	2013
81	CA - San Francisco	140303	2013
82	CA - San Jose	141951	2013
83	CA - San Luis Obispo	42295	2013
85	CA - San Mateo County	72461	2013
86	CA - Santa Barbara	60037	2013
87	CA - Santa Cruz	37374	2013
89	CA - Santa Rosa	54976	2013
91	CA - Stockton	53911	2013
96	CA - Ventura	90435	2013
101	CO - Boulder	26588	2013
102	CO - Colorado Springs	94042	2013
103	CO - Denver	216286	2013
104	CO - Fort Collins	41581	2013
105	CO - Grand Junction	41594	2013
106	CO - Greeley	43434	2013
107	CO - Pueblo	25021	2013
109	CT - Bridgeport	80428	2013
110	CT - Hartford	202561	2013
111	CT - New Haven	195582	2013
112	DE - Wilmington	119740	2013
113	DC - Washington	347187	2013
115	FL - Bradenton	53051	2013
116	FL - Clearwater	68793	2013
118	FL - Fort Lauderdale	336188	2013
119	FL - Fort Myers	218598	2013
120	FL - Gainesville	86544	2013
122	FL - Hudson	61529	2013
123	FL - Jacksonville	209250	2013
124	FL - Lakeland	41279	2013
127	FL - Miami	228128	2013
129	FL - Ocala	125460	2013
130	FL - Orlando	458267	2013
131	FL - Ormond Beach	65450	2013
133	FL - Panama City	36380	2013
134	FL - Pensacola	121624	2013
137	FL - Sarasota	96863	2013
139	FL - St. Petersburg	54044	2013
140	FL - Tallahassee	91641	2013
141	FL - Tampa	125649	2013
142	GA - Albany	26937	2013
144	GA - Atlanta	596992	2013
145	GA - Augusta	86459	2013
146	GA - Columbus	41354	2013
147	GA - Macon	93357	2013
148	GA - Rome	42762	2013
149	GA - Savannah	109567	2013
150	HI - Honolulu	123535	2013
151	ID - Boise	90169	2013
152	ID - Idaho Falls	24788	2013
154	IL - Aurora	30474	2013
155	IL - Blue Island	125894	2013
156	IL - Chicago	268714	2013
158	IL - Elgin	95346	2013
161	IL - Evanston	149833	2013
163	IL - Hinsdale	60418	2013
164	IL - Joliet	92158	2013
166	IL - Melrose Park	168637	2013
170	IL - Peoria	98513	2013
171	IL - Rockford	109792	2013
172	IL - Springfield	153502	2013
173	IL - Urbana	62172	2013
175	IL - Bloomington	24119	2013
179	IN - Evansville	110798	2013
180	IN - Fort Wayne	92507	2013
181	IN - Gary	76825	2013
183	IN - Indianapolis	370923	2013
184	IN - Lafayette	28908	2013
185	IN - Muncie	27825	2013
186	IN - Munster	45855	2013
187	IN - South Bend	87897	2013
188	IN - Terre Haute	29939	2013
190	IA - Cedar Rapids	39263	2013
191	IA - Davenport	79206	2013
192	IA - Des Moines	160613	2013
193	IA - Dubuque	18779	2013
194	IA - Iowa City	49902	2013
195	IA - Mason City	28404	2013
196	IA - Sioux City	38166	2013
197	IA - Waterloo	35152	2013
200	KS - Topeka	71035	2013
201	KS - Wichita	197497	2013
203	KY - Covington	43132	2013
204	KY - Lexington	225933	2013
205	KY - Louisville	247167	2013
207	KY - Owensboro	24068	2013
208	KY - Paducah	69614	2013
209	LA - Alexandria	48261	2013
210	LA - Baton Rouge	88494	2013
212	LA - Houma	37103	2013
213	LA - Lafayette	93203	2013
214	LA - Lake Charles	38334	2013
216	LA - Metairie	44195	2013
217	LA - Monroe	41575	2013
218	LA - New Orleans	54893	2013
219	LA - Shreveport	103637	2013
220	LA - Slidell	23194	2013
221	ME - Bangor	79864	2013
222	ME - Portland	181923	2013
223	MD - Baltimore	369580	2013
225	MD - Salisbury	97563	2013
226	MD - Takoma Park	103709	2013
227	MA - Boston	708316	2013
230	MA - Springfield	116197	2013
231	MA - Worcester	90709	2013
232	MI - Ann Arbor	169024	2013
233	MI - Dearborn	64894	2013
234	MI - Detroit	223536	2013
235	MI - Flint	75305	2013
236	MI - Grand Rapids	111340	2013
238	MI - Kalamazoo	92657	2013
239	MI - Lansing	89743	2013
240	MI - Marquette	35159	2013
242	MI - Muskegon	35678	2013
243	MI - Petoskey	33284	2013
244	MI - Pontiac	55901	2013
245	MI - Royal Oak	91200	2013
246	MI - Saginaw	117331	2013
248	MI - St. Joseph	22376	2013
249	MI - Traverse City	43420	2013
250	MN - Duluth	43582	2013
251	MN - Minneapolis	257393	2013
253	MN - Rochester	49415	2013
254	MN - St. Cloud	20582	2013
256	MN - St. Paul	79094	2013
257	MS - Gulfport	28813	2013
258	MS - Hattiesburg	47516	2013
259	MS - Jackson	158914	2013
260	MS - Meridian	35556	2013
261	MS - Oxford	25858	2013
262	MS - Tupelo	71122	2013
263	MO - Cape Girardeau	50739	2013
264	MO - Columbia	116387	2013
267	MO - Joplin	62530	2013
268	MO - Kansas City	301499	2013
270	MO - Springfield	126400	2013
273	MO - St. Louis	452416	2013
274	MT - Billings	89137	2013
275	MT - Great Falls	23128	2013
276	MT - Missoula	66971	2013
277	NE - Lincoln	93554	2013
278	NE - Omaha	178423	2013
279	NV - Las Vegas	195922	2013
280	NV - Reno	107720	2013
281	NH - Lebanon	82855	2013
282	NH - Manchester	150144	2013
283	NJ - Camden	444449	2013
284	NJ - Hackensack	165811	2013
285	NJ - Morristown	143502	2013
288	NJ - New Brunswick	130346	2013
289	NJ - Newark	158557	2013
291	NJ - Paterson	50851	2013
292	NJ - Ridgewood	57883	2013
293	NM - Albuquerque	198992	2013
295	NY - Albany	253396	2013
296	NY - Binghamton	54825	2013
297	NY - Bronx	91095	2013
299	NY - Buffalo	130977	2013
300	NY - Elmira	47359	2013
301	NY - East Long Island	546532	2013
303	NY - Manhattan	466248	2013
304	NY - Rochester	109302	2013
307	NY - Syracuse	141599	2013
308	NY - White Plains	147876	2013
309	NC - Asheville	129460	2013
311	NC - Charlotte	311372	2013
312	NC - Durham	196188	2013
313	NC - Greensboro	66992	2013
314	NC - Greenville	146359	2013
315	NC - Hickory	44918	2013
318	NC - Raleigh	256372	2013
319	NC - Wilmington	82984	2013
320	NC - Winston-Salem	135967	2013
321	ND - Bismarck	34236	2013
322	ND - Fargo/Moorhead MN	64715	2013
323	ND - Grand Forks	21502	2013
324	ND - Minot	18951	2013
325	OH - Akron	66453	2013
326	OH - Canton	67986	2013
327	OH - Cincinnati	172126	2013
328	OH - Cleveland	248214	2013
329	OH - Columbus	317338	2013
330	OH - Dayton	124223	2013
331	OH - Elyria	32983	2013
332	OH - Kettering	44700	2013
334	OH - Toledo	121133	2013
335	OH - Youngstown	76624	2013
336	OK - Lawton	30851	2013
